"subset","term","estimate","std_error","ci1","ci2","ci95","f","df","df_res","p"
"HPP 1-2","(Intercept)",7301.91325863126,1009.8923007337,5253.3,9362.1,"[5253.3, 9362.1]",48.8571582233649,1,23.9387092002162,3.20110384330087e-07
"HPP 1-2","item",-1783.66831202047,726.685149414193,-3199.6,-360.7,"[-3199.6, -360.7]",6.0247027416063,1,77.9999999999983,0.0163344768082556
"HPP 1-2","hpp",-261.337645660059,586.815087094015,-1449.8,991.7,"[-1449.8, 991.7]",0.185591837326244,1,106.961951330605,0.667477997047834
"HPP 1-2","item:hpp",969.495920716118,481.787562678059,38.3,2010.4,"[38.3, 2010.4]",4.04930792171013,1,77.9999999999983,0.047641601454612
"HPP 1-3","(Intercept)",7470.03871502327,794.622717896665,6007.1,9172.6,"[6007.1, 9172.6]",83.7772054502566,1,14.2983943693891,2.33234504713853e-07
"HPP 1-3","item",-1349.92577123047,532.33556425537,-2426.9,-267.6,"[-2426.9, -267.6]",6.43056028506637,1,92.0000000000021,0.012903632563195
"HPP 1-3","hpp",-395.838469683802,366.618201520182,-1182.6,316.1,"[-1182.6, 316.1]",1.08673688854265,1,122.31343001742,0.299251425475495
"HPP 1-3","item:hpp",627.923669843999,294.085796625558,3,1252.6,"[3, 1252.6]",4.55895818146958,1,92.0000000000015,0.0354040730289277
"HPP 1-4","(Intercept)",7611.10454086923,719.292472331428,6188.6,9275.3,"[6188.6, 9275.3]",107.372438991384,1,10.461181894008,7.90097880218895e-07
"HPP 1-4","item",-1491.11443499999,452.097119587376,-2348.4,-578.5,"[-2348.4, -578.5]",10.8782358098935,1,97.9999999999974,0.0013567275503426
"HPP 1-4","hpp",-500.801874810106,278.688467688415,-1070.2,98.2,"[-1070.2, 98.2]",3.04333214830168,1,131.919900883442,0.0833983401712069
"HPP 1-4","item:hpp",726.219574999996,224.926723788126,294.2,1145,"[294.2, 1145]",10.4244652748007,1,97.9999999999987,0.00169235746994437
"HPP 1-5","(Intercept)",7611.10454086923,719.292472331428,6188.6,9275.3,"[6188.6, 9275.3]",107.372438991384,1,10.461181894008,7.90097880218895e-07
"HPP 1-5","item",-1491.11443499999,452.097119587376,-2348.4,-578.5,"[-2348.4, -578.5]",10.8782358098935,1,97.9999999999974,0.0013567275503426
"HPP 1-5","hpp",-500.801874810106,278.688467688415,-1070.2,98.2,"[-1070.2, 98.2]",3.04333214830168,1,131.919900883442,0.0833983401712069
"HPP 1-5","item:hpp",726.219574999996,224.926723788126,294.2,1145,"[294.2, 1145]",10.4244652748007,1,97.9999999999987,0.00169235746994437
"HPP 1-6","(Intercept)",7678.98288302365,673.287074346946,6389.7,9294.6,"[6389.7, 9294.6]",124.637663492683,1,9.05956820700224,1.34418907535922e-06
"HPP 1-6","item",-1398.77457393368,411.323885661136,-2204.9,-589.1,"[-2204.9, -589.1]",11.5645196692998,1,100.000000000002,0.000967261355267974
"HPP 1-6","hpp",-539.666798373676,238.687775581809,-999.9,-74.7,"[-999.9, -74.7]",4.80024055535938,1,133.117472834405,0.0301961429338243
"HPP 1-6","item:hpp",667.1130185405,192.644910235131,247.2,1028.5,"[247.2, 1028.5]",11.9917827855427,1,100.000000000001,0.000787875350716037
